Time	epochs	Loss	Accuracy	learning_rate
17:01:06	0	1.3020	0.6545	0.00001
17:01:06	1	0.5971	0.7182	0.00001
17:01:06	2	0.3763	0.7727	0.00001
17:01:06	3	0.2749	0.7455	0.00001
17:01:06	4	0.2173	0.7455	0.00001
17:01:06	5	0.1840	0.7273	0.00001
17:01:06	6	0.1406	0.7636	0.00001
17:01:06	7	0.1312	0.7545	0.00001
17:01:06	8	0.1173	0.7091	0.00001
17:01:06	9	0.1069	0.7273	0.00001
17:01:06	10	0.1039	0.7273	0.00001
17:01:06	11	0.0968	0.7273	0.00001
17:01:06	12	0.0935	0.7000	0.00001
17:01:06	13	0.0824	0.7364	0.00001
17:01:06	14	0.0794	0.7545	0.00001
17:01:06	15	0.0726	0.7364	0.00001
17:01:06	16	0.0679	0.7364	0.00001
17:01:06	17	0.0691	0.7545	0.00001
17:01:06	18	0.0660	0.7273	0.00001
17:01:06	19	0.0633	0.7091	0.00001
17:01:06	20	0.0587	0.7000	0.00001
17:01:06	21	0.0594	0.7273	0.00001
17:01:06	22	0.0599	0.7000	0.00001
17:01:06	23	0.0569	0.7182	0.00001
17:01:06	24	0.0496	0.7545	0.00001
17:01:06	25	0.0495	0.7455	0.00001
17:01:06	26	0.0479	0.7545	0.00001
17:01:06	27	0.0493	0.7273	0.00001
17:01:06	28	0.0455	0.7455	0.00001
17:01:06	29	0.0434	0.7455	0.00001
17:01:06	30	0.0455	0.7182	0.00001
17:01:06	31	0.0440	0.7091	0.00001
17:01:06	32	0.0380	0.7182	0.00001
17:01:06	33	0.0373	0.7364	0.00001
17:01:06	34	0.0349	0.7364	0.00001
17:01:06	35	0.0356	0.7273	0.00001
17:01:06	36	0.0358	0.7273	0.00001
17:01:06	37	0.0352	0.7182	0.00001
17:01:06	38	0.0330	0.7273	0.00001
17:01:06	39	0.0334	0.7273	0.00001
17:01:06	40	0.0315	0.7273	0.00001
17:01:06	41	0.0342	0.6909	0.00001
17:01:06	42	0.0323	0.7000	0.00001
17:01:06	43	0.0312	0.7091	0.00001
17:01:06	44	0.0305	0.7091	0.00001
17:01:06	45	0.0294	0.7273	0.00001
17:01:06	46	0.0290	0.7364	0.00001
17:01:06	47	0.0272	0.7182	0.00001
17:01:06	48	0.0267	0.7091	0.00001
17:01:06	49	0.0280	0.7182	0.00001
17:01:06	50	0.0273	0.7273	0.00001
17:01:06	51	0.0273	0.7545	0.00001
17:01:06	52	0.0272	0.7000	0.00001
17:01:06	53	0.0270	0.7364	0.00001
17:01:06	54	0.0254	0.7455	0.00001
17:01:06	55	0.0232	0.7545	0.00001
17:01:06	56	0.0267	0.7364	0.00001
17:01:06	57	0.0258	0.7091	0.00001
17:01:06	58	0.0252	0.7091	0.00001
17:01:06	59	0.0228	0.7091	0.00001
17:01:06	60	0.0218	0.7182	0.00001
17:01:06	61	0.0228	0.7091	0.00001
17:01:06	62	0.0212	0.7091	0.00001
17:01:06	63	0.0195	0.7364	0.00001
17:01:06	64	0.0202	0.7455	0.00001
17:01:06	65	0.0223	0.7182	0.00001
17:01:06	66	0.0198	0.7273	0.00001
17:01:06	67	0.0208	0.7273	0.00001
17:01:06	68	0.0207	0.7273	0.00001
17:01:06	69	0.0215	0.7091	0.00001
17:01:06	70	0.0204	0.7000	0.00001
17:01:06	71	0.0198	0.7182	0.00001
17:01:06	72	0.0205	0.7273	0.00001
17:01:06	73	0.0193	0.7273	0.00001
17:01:06	74	0.0194	0.7273	0.00001
17:01:06	75	0.0178	0.7273	0.00001
17:01:06	76	0.0175	0.7273	0.00001
17:01:06	77	0.0173	0.7364	0.00001
17:01:06	78	0.0173	0.7455	0.00001
17:01:06	79	0.0174	0.7455	0.00001
17:01:06	80	0.0181	0.7273	0.00001
17:01:06	81	0.0173	0.7364	0.00001
17:01:06	82	0.0183	0.7364	0.00001
17:01:06	83	0.0163	0.7273	0.00001
17:01:06	84	0.0170	0.7364	0.00001
17:01:06	85	0.0172	0.7364	0.00001
17:01:06	86	0.0169	0.7273	0.00001
17:01:06	87	0.0177	0.7273	0.00001
17:01:06	88	0.0169	0.7273	0.00001
17:01:06	89	0.0172	0.7182	0.00001
17:01:06	90	0.0162	0.7273	0.00001
17:01:06	91	0.0158	0.7455	0.00001
17:01:06	92	0.0141	0.7455	0.00001
17:01:06	93	0.0147	0.7364	0.00001
17:01:06	94	0.0142	0.7545	0.00001
17:01:06	95	0.0141	0.7364	0.00001
