Time	epochs	Loss	Accuracy	learning_rate
2024-11-12 14:57:06	0	66535.7188	0.3818	0.0100
2024-11-12 14:57:06	1	0.6702	0.6273	0.0100
2024-11-12 14:57:06	2	0.4760	0.3818	0.0100
2024-11-12 14:57:06	3	0.3548	0.4727	0.0100
2024-11-12 14:57:06	4	0.2613	0.5727	0.0100
2024-11-12 14:57:06	5	0.2171	0.5455	0.0100
2024-11-12 14:57:06	6	0.2854	0.6636	0.0100
2024-11-12 14:57:06	7	0.1587	0.6636	0.0100
2024-11-12 14:57:06	8	0.1616	0.4091	0.0100
2024-11-12 14:57:06	9	0.1587	0.4727	0.0100
2024-11-12 14:57:06	10	0.1386	0.3909	0.0100
2024-11-12 14:57:06	11	0.8200	0.6182	0.0100
2024-11-12 14:57:06	12	0.0963	0.6091	0.0100
2024-11-12 14:57:06	13	0.0896	0.7091	0.0100
2024-11-12 14:57:06	14	0.0857	0.6091	0.0100
2024-11-12 14:57:06	15	0.0790	0.6545	0.0100
2024-11-12 14:57:06	16	0.0869	0.5182	0.0100
2024-11-12 14:57:06	17	0.0661	0.7091	0.0100
2024-11-12 14:57:06	18	0.0797	0.4909	0.0100
2024-11-12 14:57:06	19	0.0678	0.6364	0.0100
2024-11-12 14:57:06	20	0.0781	0.6545	0.0100
2024-11-12 14:57:06	21	0.0549	0.6364	0.0100
2024-11-12 14:57:06	22	0.0523	0.6727	0.0100
2024-11-12 14:57:06	23	0.0494	0.6636	0.0100
2024-11-12 14:57:06	24	0.0556	0.5818	0.0100
2024-11-12 14:57:06	25	0.0472	0.6455	0.0100
2024-11-12 14:57:06	26	0.0440	0.7000	0.0100
2024-11-12 14:57:06	27	0.0476	0.5818	0.0100
2024-11-12 14:57:06	28	0.0531	0.4909	0.0100
2024-11-12 14:57:06	29	0.0435	0.6545	0.0100
2024-11-12 14:57:06	30	0.0530	0.6182	0.0100
2024-11-12 14:57:06	31	0.0452	0.6727	0.0100
2024-11-12 14:57:06	32	0.0392	0.6818	0.0100
2024-11-12 14:57:06	33	0.0361	0.6364	0.0100
2024-11-12 14:57:06	34	0.0383	0.6545	0.0100
2024-11-12 14:57:06	35	0.0323	0.6455	0.0100
2024-11-12 14:57:06	36	0.0440	0.6273	0.0100
2024-11-12 14:57:06	37	0.0458	0.5636	0.0100
2024-11-12 14:57:06	38	0.0397	0.6364	0.0100
2024-11-12 14:57:06	39	0.0487	0.4727	0.0100
2024-11-12 14:57:06	40	0.0378	0.6091	0.0100
2024-11-12 14:57:06	41	0.0434	0.6182	0.0100
2024-11-12 14:57:06	42	0.0372	0.6091	0.0100
2024-11-12 14:57:06	43	0.0348	0.6364	0.0100
2024-11-12 14:57:06	44	0.0328	0.6455	0.0100
2024-11-12 14:57:06	45	0.0495	0.4273	0.0100
2024-11-12 14:57:06	46	0.0409	0.6273	0.0100
2024-11-12 14:57:06	47	0.0484	0.6455	0.0100
2024-11-12 14:57:06	48	0.0403	0.5909	0.0100
2024-11-12 14:57:06	49	0.0664	0.5818	0.0100
